245,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　市販冷凍食品を揚げたもの,2.9,10.6,32.4
246,＜いも類＞　じゃがいも　乾燥マッシュポテト,6.6,0.6,82.8
247,＜いも類＞　ヤーコン　塊根　生,0.6,0.3,12.4
248,＜いも類＞　ヤーコン　塊根　水煮,0.6,0.3,9.9
249,＜いも類＞　やまのいも類　ながいも　いちょういも　塊根　生,4.5,0.5,22.6
250,＜いも類＞　やまのいも類　ながいも　ながいも　塊根　生,2.2,0.3,13.9
251,＜いも類＞　やまのいも類　ながいも　ながいも　塊根　水煮,2,0.3,12.6
252,＜いも類＞　やまのいも類　ながいも　やまといも　塊根　生,4.5,0.2,27.1
253,＜いも類＞　やまのいも類　じねんじょ　塊根　生,2.8,0.7,26.7
254,＜いも類＞　やまのいも類　だいじょ　塊根　生,2.6,0.1,25
255,＜でん粉・でん粉製品＞　でん粉類　おおうばゆりでん粉,0.1,0.1,83.6
256,＜でん粉・でん粉製品＞　でん粉類　キャッサバでん粉,0.1,0.2,85.3
257,＜でん粉・でん粉製品＞　でん粉類　くずでん粉,0.2,0.2,85.6
258,＜でん粉・でん粉製品＞　でん粉類　米でん粉,0.2,0.7,89.3
259,＜でん粉・でん粉製品＞　でん粉類　小麦でん粉,0.2,0.5,86
260,＜でん粉・でん粉製品＞　でん粉類　サゴでん粉,0.1,0.2,86.1
261,＜でん粉・でん粉製品＞　でん粉類　さつまいもでん粉,0.1,0.2,82
262,＜でん粉・でん粉製品＞　でん粉類　じゃがいもでん粉,0.1,0.1,81.6
263,＜でん粉・でん粉製品＞　でん粉類　とうもろこしでん粉,0.1,0.7,86.3
264,＜でん粉・でん粉製品＞　でん粉製品　くずきり　乾,0.2,0.2,87.7
265,＜でん粉・でん粉製品＞　でん粉製品　くずきり　ゆで,0.1,0.1,33.3
266,＜でん粉・でん粉製品＞　でん粉製品　ごま豆腐,1.5,4.3,9.1
267,＜でん粉・でん粉製品＞　でん粉製品　タピオカパール　乾,0,0.2,87.8
268,＜でん粉・でん粉製品＞　でん粉製品　タピオカパール　ゆで,0,0,15.4
269,＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　生,0.1,0.2,32.2
270,＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　乾,0.2,0.3,86.7
271,＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　乾　ゆで,0,0.2,20.6
272,＜でん粉・でん粉製品＞　でん粉製品　はるさめ　緑豆はるさめ　乾,0.2,0.4,87.5
273,＜でん粉・でん粉製品＞　でん粉製品　はるさめ　緑豆はるさめ　ゆで,0,0.1,20.6
